name,age,sex,major,gpa,hobbies,country,id,province,level
Ashley Mcintosh DDS,20,Female,Sociology,4.06,"['kickboxing', 'poetry']",USA,id_31,Massachusetts,Freshman
Heather Russell,23,Female,Civil Engineering,3.9699999999999998,"['puppetry', 'gardening']",USA,id_32,Washington,Senior
John Howell,18,Male,Music,3.32,"['weightlifting', 'music']",Canada,id_33,Ontario,Senior
Dillon Hawkins,21,Male,Health Science,4.01,"['stargazing', 'video editing']",USA,id_34,South Carolina,Senior
Lynn Reyes,21,Female,Meteorology,2.33,"['flying planes', 'spelunking']",USA,id_35,New York,Junior
Tanya Little,19,Female,Philosophy,3.52,"['makeup artistry', 'puzzle solving']",USA,id_36,Arizona,Freshman
Joseph Stephens,20,Male,Graphic Communication,2.7,"['meditation', 'bird training']",USA,id_37,California,Freshman
Michaela Oneill,20,Female,Biochemistry,2.25,"['bird training', 'weightlifting']",USA,id_38,Washington,Senior
Larry Barrett,23,Male,Management,3.48,"['water polo', 'puzzle solving']",Canada,id_39,Ontario,Freshman
Maria Davila,22,Female,Management,2.87,"['surfing', 'scuba diving']",USA,id_40,Kansas,Freshman
Brittany Richardson,24,Female,International Relations,2.49,"['skiing', 'biking']",USA,id_41,Illinois,Junior
Bonnie Harmon,23,Female,Fashion Design,3.47,"['tai chi', 'poetry']",Canada,id_42,Alberta,Sophomore
David Hughes,19,Male,Communication,3.2,"['baking', 'podcasting']",Canada,id_43,Nova Scotia,Senior
Hannah Beck,19,Female,Graphic Design,3.38,"['meditation', 'rock climbing']",USA,id_44,Maine,Junior
Jeffrey Weaver,18,Male,Electrical Engineering,2.5700000000000003,"['bird training', 'parkour']",Canada,id_45,Quebec,Junior
Richard Bailey,24,Male,Theater,2.5,"['traveling', 'dodgeball']",USA,id_46,Michigan,Freshman
Erin Clark,20,Female,Music,2.83,"['volunteering', 'calligraphy']",USA,id_47,Pennsylvania,Sophomore
Jordan Foster,24,Female,Journalism,3.63,"['vlogging', 'zumba']",USA,id_48,Louisiana,Freshman
Robert Young,21,Male,Meteorology,3.65,"['hiking', 'roller skating']",USA,id_49,Virginia,Junior
Robert Cortez,23,Male,Accounting,2.5300000000000002,"['poetry', 'gardening']",USA,id_50,Louisiana,Junior
Abigail Shelton,23,Female,Earth Science,2.43,"['card games', 'table tennis']",Canada,id_51,Alberta,Senior
Rachel Berg,22,Female,History,2.27,"['collecting (e.g., stamps, coins, comic books)', 'writing']",USA,id_52,Oklahoma,Senior
Lisa Perry,20,Female,Computer Science,3.89,"['sailing', 'birdwatching']",USA,id_53,Pennsylvania,Freshman
Michelle Singh DDS,23,Female,Political Science,2.98,"['woodworking', 'animation']",USA,id_54,California,Freshman
Savannah Ingram,23,Female,Veterinary Science,3.16,"['wine tasting', 'traveling']",USA,id_55,Ohio,Sophomore
Amber Odonnell,24,Female,Linguistics,3.76,"['freerunning', 'sports']",USA,id_56,Tennessee,Senior
Michelle Kennedy,24,Female,Linguistics,3.61,"['collecting (e.g., stamps, coins, comic books)', 'skateboarding']",USA,id_57,Virginia,Junior
Shelia Moore,21,Female,Management,3.07,"['skydiving', 'video editing']",USA,id_58,Utah,Sophomore
Jesse Bailey,23,Male,Health Science,3.51,"['card games', 'homebrewing']",Canada,id_59,British Columbia,Freshman
Dr. Sarah Miller,21,Female,Botany,2.48,"['philately', 'gardening']",USA,id_60,Kentucky,Freshman
Anthony Ball,22,Male,Geology,2.05,"['metal detecting', 'camping']",Canada,id_61,Ontario,Senior
Marvin Walker,22,Male,Mathematics,3.98,"['rock climbing', 'fitness training']",Canada,id_62,British Columbia,Freshman
Mike Jones,18,Male,Business Administration,2.31,"['kickboxing', 'collecting (e.g., stamps, coins, comic books)']",USA,id_63,North Carolina,Freshman
Shelby Carter,24,Female,Drama,4.13,"['puzzle solving', 'freerunning']",Canada,id_64,Ontario,Senior
Jeremy Jenkins,19,Male,Environmental Science,3.76,"['hiking', 'kickboxing']",Canada,id_65,Alberta,Senior
Corey Anderson DDS,24,Male,Sociology,2.22,"['card games', 'kickboxing']",Canada,id_66,Ontario,Sophomore
Dennis Rangel,24,Male,Forensic Science,2.56,"['meditation', 'vlogging']",USA,id_67,Texas,Junior
Jill Jackson,21,Female,Health Science,3.54,"['soap making', 'horseback riding']",USA,id_68,California,Sophomore
Felicia Thompson,18,Female,Hospitality Management,3.49,"['freerunning', 'dancing']",USA,id_69,California,Senior
Holly Owens,24,Female,Earth Science,2.83,"['cycling', 'board games']",USA,id_70,California,Senior
Michael Brown,22,Male,Ecology,3.49,"['kickboxing', 'martial arts']",USA,id_71,Virginia,Senior
Jeffrey Hernandez,21,Male,Business Administration,2.99,"['urban exploration', 'geocaching']",Canada,id_72,Ontario,Sophomore
Jason Hayes,19,Male,Mechanical Engineering,2.87,"['programming', 'gardening']",USA,id_73,Arizona,Junior
Christopher Howell,18,Male,English Literature,3.91,"['gardening', 'skydiving']",Canada,id_74,Ontario,Senior
Michael Graham,18,Male,Marketing,3.35,"['roller skating', 'windsurfing']",USA,id_75,South Dakota,Junior
Fred Willis,18,Male,Molecular Biology,2.7199999999999998,"['fishing', 'gardening']",USA,id_76,Alabama,Senior
Stephanie Orozco,22,Female,Art Therapy,3.24,"['ice skating', 'vlogging']",Canada,id_77,Ontario,Sophomore
Devin Irwin,24,Male,Journalism,3.7,"['swimming', 'bird training']",USA,id_78,California,Sophomore
Brandi Nelson,19,Female,Early Childhood Education,2.44,"['sports', 'fitness training']",Canada,id_79,Manitoba,Junior
Willie Martin,21,Male,Nuclear Engineering,2.43,"['surfing', 'kayaking']",Canada,id_80,Alberta,Senior
Timothy Foster,20,Male,Aerospace Engineering,3.71,"['astrology', 'wine tasting']",Canada,id_81,Quebec,Senior
Lee Parks,23,Male,Political Science,2.6,"['mountain biking', 'bird training']",USA,id_82,Texas,Freshman
Brett Garcia,21,Male,Electrical Engineering,3.41,"['tarot reading', 'rafting']",Canada,id_83,Ontario,Junior
Jason Gonzalez,18,Male,Marketing,2.5300000000000002,"['whittling', 'archery']",Canada,id_84,Ontario,Freshman
Lori Baker,19,Female,Veterinary Science,2.83,"['fishing', 'fitness training']",Canada,id_85,Quebec,Freshman
Tiffany Zavala,22,Female,Classics,2.9699999999999998,"['tai chi', 'kayaking']",USA,id_86,Texas,Junior
Jennifer Phillips,22,Female,Veterinary Science,3.65,"['sailing', 'windsurfing']",USA,id_87,Florida,Junior
John Mullins,18,Male,Graphic Design,3.03,"['DIY projects', 'beekeeping']",USA,id_88,Texas,Senior
Jason Clark,19,Male,Earth Science,2.7800000000000002,"['jogging', 'photography']",USA,id_89,Virginia,Sophomore
Denise Hampton,21,Female,Psychology,3.21,"['stone carving', 'philanthropy']",USA,id_90,Wisconsin,Senior
Robert Phelps,24,Male,Veterinary Science,3.59,"['archery', 'magic']",Canada,id_91,Alberta,Sophomore
Richard Moore,20,Male,Civil Engineering,3.94,"['tai chi', 'hiking']",USA,id_92,North Carolina,Senior
Jill Manning,18,Female,Early Childhood Education,3.33,"['cycling', 'stone carving']",Canada,id_93,Ontario,Freshman
Tammy Peterson,21,Female,Business Administration,2.75,"['cosplay', 'gaming']",Canada,id_94,Manitoba,Senior
Brian Brown,18,Male,Electrical Engineering,2.85,"['volunteering', 'video editing']",USA,id_95,Oregon,Junior
Bryan Fernandez,20,Male,Philosophy,3.0,"['wine tasting', 'cooking']",USA,id_96,Iowa,Freshman
Karen Strickland,22,Female,Mathematics,2.7199999999999998,"['numismatics', 'writing']",USA,id_97,Texas,Sophomore
Karen Robinson,19,Female,Sociology,3.34,"['philately', 'podcasting']",Canada,id_98,Ontario,Sophomore
George Simmons,19,Male,Earth Science,3.56,"['astrology', 'disc golf']",USA,id_99,Ohio,Sophomore
Lisa Richardson,20,Female,History,2.55,"['video editing', 'puzzle solving']",USA,id_100,Tennessee,Freshman
Philip Adams,22,Male,Nuclear Engineering,2.39,"['wine tasting', 'knitting']",USA,id_101,New York,Senior
Debra Cooper,22,Female,Biomedical Engineering,2.59,"['freerunning', 'pottery']",Canada,id_102,Ontario,Sophomore
Rachel Sloan,20,Female,Industrial Design,3.42,"['mountain biking', 'reading']",Canada,id_103,Quebec,Junior
Melissa Dougherty,24,Female,Communication,2.24,"['beekeeping', 'freerunning']",USA,id_104,California,Freshman
William Howard,18,Male,International Relations,3.5300000000000002,"['astronomy', 'model building']",USA,id_105,Missouri,Junior
Lynn Thomas,24,Female,Marine Biology,2.96,"['fishing', 'callisthenics']",USA,id_106,New York,Sophomore
Hannah Daniel,18,Female,Dentistry,2.83,"['origami', 'snowboarding']",Canada,id_107,Quebec,Junior
Richard Fisher,22,Male,Electrical Engineering,2.85,"['fencing', 'handball']",USA,id_108,Virginia,Freshman
Ashley Reyes,21,Female,Journalism,3.17,"['soap making', 'skiing']",Canada,id_109,Alberta,Senior
Steven Castillo,23,Male,Philosophy,3.03,"['podcasting', 'upcycling']",USA,id_110,Texas,Junior
Aaron Pierce,20,Male,Public Health,3.14,"['magic', 'beekeeping']",Canada,id_111,Nova Scotia,Freshman
Joshua Herring,23,Male,Film Studies,2.85,"['jewelry making', 'origami']",Canada,id_112,Quebec,Sophomore
Jamie Harris,20,Male,Veterinary Science,3.51,"['video editing', 'zumba']",USA,id_113,New York,Senior
Javier Mccormick,21,Male,Marketing,2.83,"['geocaching', 'fencing']",USA,id_114,California,Freshman
Sonya Johnson,23,Female,Geology,2.06,"['camping', 'windsurfing']",USA,id_115,Florida,Sophomore
Larry Tran,22,Male,Kinesiology,3.2,"['cycling', 'volunteering']",Canada,id_116,British Columbia,Junior
Tracey Swanson,23,Female,Microbiology,3.65,"['water polo', 'flying planes']",Canada,id_117,Alberta,Senior
Christopher Pena,20,Male,Information Systems,3.42,"['fashion design', 'numismatics']",Canada,id_118,Ontario,Junior
Barbara Crawford,21,Female,Art Therapy,3.92,"['calligraphy', 'pottery']",Canada,id_119,British Columbia,Freshman
Shelby Jones,21,Female,Biology,2.47,"['foraging', 'graphic design']",USA,id_120,Alabama,Freshman
Katherine Williams,23,Female,Nutrition Science,3.69,"['rafting', 'scrapbooking']",USA,id_121,Hawaii,Junior
Cindy Cisneros,22,Female,Early Childhood Education,2.06,"['kickboxing', 'traveling']",Canada,id_122,British Columbia,Freshman
Misty Salazar,19,Female,Physics,3.83,"['card games', 'surfing']",Canada,id_123,Quebec,Sophomore
Phillip Burns,24,Male,Business Administration,2.51,"['birdwatching', 'animation']",USA,id_124,North Carolina,Freshman
Kenneth Pearson,18,Male,Kinesiology,3.67,"['woodworking', 'photography']",Canada,id_125,Quebec,Freshman
Peggy Brooks,21,Female,Public Health,2.91,"['tarot reading', 'reading']",Canada,id_126,Alberta,Senior
Damon Campbell,19,Male,Music,2.46,"['disc golf', 'sports']",Canada,id_127,Quebec,Sophomore
James Freeman,18,Male,Civil Engineering,2.75,"['gaming', 'beekeeping']",Canada,id_128,Nova Scotia,Senior
Ashley Brady,21,Female,Art Therapy,2.63,"['metal detecting', 'bird watching']",Canada,id_129,Ontario,Senior
Michael Henderson,19,Male,Criminology,3.36,"['wine tasting', 'meditation']",USA,id_130,South Carolina,Senior
Pamela Larson,18,Female,Ecology,2.41,"['rock climbing', 'bouldering']",USA,id_131,Washington,Freshman
Marcus Foster,22,Male,Psychology,2.41,"['rafting', 'traveling']",Canada,id_132,Quebec,Freshman
Brandi Martin,22,Female,Art Therapy,2.49,"['sports', 'music']",Canada,id_133,Nova Scotia,Junior
Linda Grant,21,Female,Veterinary Science,3.02,"['drone piloting', 'martial arts']",USA,id_134,California,Senior
Laura Roberts,22,Female,Microbiology,2.44,"['podcasting', 'card games']",USA,id_135,Texas,Senior
Kristine Davis,24,Female,Nursing,2.05,"['ice skating', 'makeup artistry']",USA,id_136,California,Junior
Victor Watson,20,Male,Meteorology,3.84,"['callisthenics', 'mountain biking']",Canada,id_137,New Brunswick,Freshman
Stephanie Howard,21,Female,Aerospace Engineering,3.51,"['dancing', 'tai chi']",USA,id_138,Maryland,Freshman
Samantha Bryant,19,Female,Mathematics,2.88,"['DIY projects', 'gaming']",Canada,id_139,Ontario,Freshman
Jennifer Carter,19,Female,Graphic Design,2.07,"['card games', 'model building']",Canada,id_140,Ontario,Freshman
Rachel Martinez,23,Female,Nuclear Engineering,3.98,"['glassblowing', 'dodgeball']",USA,id_141,Colorado,Senior
Benjamin Burgess,23,Male,Geology,3.24,"['astrology', 'geocaching']",Canada,id_142,Quebec,Junior
Jerry Daugherty,23,Male,Civil Engineering,3.56,"['snorkeling', 'leatherworking']",USA,id_143,South Carolina,Sophomore
Cynthia Dunn,24,Female,Theater,3.49,"['rafting', 'board games']",Canada,id_144,Newfoundland and Labrador,Freshman
Jacqueline Sweeney,23,Female,Hospitality Management,2.47,"['tai chi', 'cosplay']",Canada,id_145,Quebec,Senior
Joseph Barnes,21,Male,Environmental Science,2.43,"['soap making', 'video editing']",USA,id_146,Massachusetts,Freshman
Jennifer Pacheco,21,Female,Social Work,3.31,"['snorkeling', 'stand-up comedy']",Canada,id_147,British Columbia,Junior
Jennifer Charles,24,Female,Public Health,3.26,"['martial arts', 'windsurfing']",Canada,id_148,Quebec,Senior
Justin Bailey,23,Male,Political Science,4.1,"['woodworking', 'flying planes']",Canada,id_149,Ontario,Freshman
Jessica Anderson,19,Female,Nursing,2.2800000000000002,"['animal rescue', 'foraging']",Canada,id_150,British Columbia,Freshman
Eric Johnson,22,Male,Ecology,2.58,"['geocaching', 'rafting']",USA,id_151,Colorado,Junior
Randy Tyler,22,Male,Archaeology,3.0,"['spelunking', 'animation']",USA,id_152,Hawaii,Junior
Brandon Powell,23,Male,Chemical Engineering,4.28,"['windsurfing', 'puzzle solving']",Canada,id_153,Ontario,Freshman
Jennifer Chambers,21,Female,Theater,3.87,"['callisthenics', 'parkour']",USA,id_154,Michigan,Freshman
Vickie Nelson,23,Female,Fashion Design,2.31,"['surfing', 'philately']",USA,id_155,Hawaii,Senior
Deanna Diaz,24,Female,Civil Engineering,2.11,"['poetry', 'dodgeball']",Canada,id_156,Quebec,Junior
Tracy Miller,23,Female,Nursing,2.38,"['weightlifting', 'glassblowing']",USA,id_157,Pennsylvania,Freshman
Jacqueline Wright,23,Female,Journalism,3.22,"['magic', 'calligraphy']",Canada,id_158,British Columbia,Junior
Matthew Smith,21,Male,Criminology,2.67,"['magic', 'candle making']",USA,id_159,Pennsylvania,Freshman
Samantha Berry,18,Female,Biology,2.95,"['photography', 'numismatics']",Canada,id_160,Manitoba,Freshman
Brian Williams,23,Male,Information Systems,2.3,"['skiing', 'reading']",Canada,id_161,Ontario,Sophomore
Tyler Houston,20,Male,Computer Science,3.96,"['calligraphy', 'web development']",USA,id_162,Kentucky,Sophomore
Jason Washington,18,Male,Art Therapy,2.79,"['soap making', 'board games']",Canada,id_163,Saskatchewan,Sophomore
Lori Parker,22,Female,Botany,4.26,"['DIY projects', 'acting']",Canada,id_164,Quebec,Freshman
Brett Palmer,21,Male,Nutrition Science,3.2800000000000002,"['camping', 'skydiving']",Canada,id_165,Newfoundland and Labrador,Freshman
Shirley Smith,22,Female,Neuroscience,3.5700000000000003,"['horseback riding', 'astrology']",USA,id_166,Massachusetts,Senior
Amber Cervantes,22,Female,Music,2.01,"['pottery', 'martial arts']",Canada,id_167,Nova Scotia,Sophomore
John Murillo,22,Male,International Relations,3.87,"['camping', 'tai chi']",USA,id_168,Michigan,Senior
Vanessa Atkinson,20,Female,Veterinary Science,2.77,"['martial arts', 'fencing']",USA,id_169,Florida,Sophomore
Karen Mullen,23,Female,Communication,3.62,"['puzzle solving', 'parkour']",Canada,id_170,Saskatchewan,Freshman
Matthew Edwards,18,Male,Biology,3.79,"['camping', 'pottery']",USA,id_171,Nevada,Junior
Natalie Stephens,23,Female,Computer Science,4.29,"['DIY projects', 'drone piloting']",Canada,id_172,Quebec,Senior
Mario Mayer,22,Male,Art Therapy,2.3,"['graphic design', 'video editing']",Canada,id_173,Ontario,Sophomore
James Jones,18,Male,Ecology,2.63,"['homebrewing', 'poetry']",Canada,id_174,Manitoba,Senior
Tracie Stephens,20,Female,Journalism,3.52,"['kickboxing', 'playing musical instruments']",USA,id_175,New York,Freshman
Todd Price,24,Male,Public Health,3.0,"['bouldering', 'skydiving']",Canada,id_176,Alberta,Freshman
Julia Reed,23,Female,Neuroscience,3.47,"['ice skating', 'geocaching']",Canada,id_177,Ontario,Sophomore
Lawrence Elliott,23,Male,Management,3.43,"['dodgeball', 'gaming']",USA,id_178,California,Senior
Veronica Roberts,19,Female,Business Administration,2.2,"['cycling', 'rafting']",USA,id_179,Louisiana,Senior
Renee Nash,22,Female,Molecular Biology,2.54,"['collecting (e.g., stamps, coins, comic books)', 'martial arts']",Canada,id_180,Ontario,Junior
Leslie Jenkins,19,Male,Aerospace Engineering,2.43,"['archery', 'windsurfing']",Canada,id_181,Ontario,Freshman
Kelly Gonzalez,22,Female,Nuclear Engineering,2.88,"['dodgeball', 'philately']",Canada,id_182,Manitoba,Freshman
Lisa Stewart,21,Female,Linguistics,3.3,"['programming', 'astrology']",USA,id_183,New Mexico,Senior
Michelle Blackwell,23,Female,Theater,3.63,"['geocaching', 'philanthropy']",Canada,id_184,Ontario,Junior
Miranda Jimenez,24,Female,Computer Science,3.37,"['vlogging', 'calligraphy']",Canada,id_185,Ontario,Sophomore
Alison Mitchell,24,Female,Linguistics,2.91,"['spelunking', 'beekeeping']",Canada,id_186,British Columbia,Junior
Christopher Stuart,24,Male,Chemical Engineering,3.66,"['graphic design', 'origami']",Canada,id_187,Quebec,Freshman
Kimberly Donaldson,21,Female,Management,3.13,"['zumba', 'drawing']",Canada,id_188,Quebec,Senior
Theresa Thomas,20,Female,Political Science,2.76,"['skydiving', 'martial arts']",USA,id_189,New Jersey,Sophomore
Jennifer Garcia,18,Female,Drama,2.31,"['woodworking', 'meditation']",USA,id_190,Pennsylvania,Sophomore
Nicholas Adams,22,Male,History,3.44,"['scrapbooking', 'roller skating']",Canada,id_191,British Columbia,Senior
Joseph Beck,19,Male,Communication,2.38,"['dancing', 'gardening']",Canada,id_192,Quebec,Freshman
Brooke Ward,22,Female,Graphic Design,3.51,"['card games', 'cosplay']",Canada,id_193,British Columbia,Freshman
John Taylor,19,Male,International Relations,2.21,"['pottery', 'knitting']",Canada,id_194,Alberta,Junior
Joshua Tapia,24,Male,Graphic Communication,4.11,"['metal detecting', 'dodgeball']",USA,id_195,California,Sophomore
Judith Ward,24,Female,Management,2.18,"['philately', 'collecting (e.g., stamps, coins, comic books)']",Canada,id_196,Ontario,Junior
Brandi Miller,23,Female,Graphic Design,3.23,"['sailing', 'numismatics']",Canada,id_197,Ontario,Senior
Mary Irwin,22,Female,Microbiology,3.55,"['cosplay', 'fencing']",Canada,id_198,Saskatchewan,Sophomore
William Bonilla,21,Male,Criminology,2.21,"['metal detecting', 'stand-up comedy']",USA,id_199,Texas,Sophomore
Patricia Stewart,21,Female,Accounting,3.35,"['card games', 'quilting']",USA,id_200,Virginia,Sophomore
Anthony Gregory,21,Male,Physics,2.31,"['woodworking', 'cosplay']",USA,id_201,Florida,Freshman
Harold Buck,22,Male,Forensic Science,3.71,"['metal detecting', 'horseback riding']",USA,id_202,Nevada,Freshman
Steve Bradford,22,Male,Microbiology,3.23,"['hiking', 'gardening']",USA,id_203,Massachusetts,Junior
Mariah Wallace,18,Female,Architecture,4.3,"['knitting', 'fashion design']",Canada,id_204,British Columbia,Freshman
Cody David,21,Male,Mechanical Engineering,3.87,"['spelunking', 'makeup artistry']",Canada,id_205,Alberta,Senior
Jennifer Cross,18,Female,Geology,3.45,"['mountain biking', 'dancing']",USA,id_206,District of Columbia,Freshman
Mr. Todd Ashley,20,Male,Philosophy,2.79,"['volunteering', 'vlogging']",USA,id_207,North Carolina,Sophomore
Michael Hayes,24,Male,Nuclear Engineering,2.69,"['quilting', 'podcasting']",USA,id_208,Indiana,Junior
Kayla Ruiz,23,Female,Biomedical Engineering,2.6,"['origami', 'homebrewing']",Canada,id_209,Ontario,Junior
Troy Byrd,19,Male,Physics,3.12,"['cooking', 'upcycling']",Canada,id_210,Ontario,Sophomore
Marissa Ferguson,18,Female,Graphic Design,2.65,"['fishing', 'scuba diving']",USA,id_211,California,Freshman
Monique Ferguson,24,Female,Archaeology,4.19,"['water polo', 'rafting']",USA,id_212,Colorado,Freshman
Jamie Lozano,20,Female,Health Science,3.87,"['wine tasting', 'volunteering']",Canada,id_213,Ontario,Senior
Joel Leonard,23,Male,Theater,3.22,"['beekeeping', 'stone carving']",USA,id_214,Arizona,Freshman
Elizabeth Johnson,18,Female,Biology,3.8200000000000003,"['stargazing', 'freerunning']",USA,id_215,California,Junior
Jared Henderson,23,Male,Biology,3.75,"['numismatics', 'meditation']",USA,id_216,Florida,Senior
Warren Jackson,22,Male,Management,3.91,"['pottery', 'urban exploration']",Canada,id_217,Quebec,Senior
Whitney Briggs,21,Female,Marine Biology,2.17,"['magic', 'pottery']",Canada,id_218,British Columbia,Senior
Jasmine Pratt,22,Female,Early Childhood Education,3.13,"['dancing', 'freerunning']",USA,id_219,Florida,Sophomore
Timothy Richardson,21,Male,Molecular Biology,2.81,"['drone piloting', 'origami']",USA,id_220,Arizona,Senior
Janice King,22,Female,Marine Biology,2.94,"['music', 'fishing']",USA,id_221,Florida,Sophomore
Vanessa Hancock,18,Female,Hospitality Management,2.24,"['water polo', 'jewelry making']",USA,id_222,New Jersey,Sophomore
Michelle Davis,20,Female,Art History,3.12,"['animal rescue', 'playing musical instruments']",Canada,id_223,Ontario,Freshman
Keith Brown,21,Male,Electrical Engineering,3.02,"['sailing', 'zumba']",USA,id_224,Missouri,Junior
Mary Ball,18,Female,Culinary Arts,4.02,"['glassblowing', 'writing']",Canada,id_225,Manitoba,Senior
Donna Nicholson,18,Female,Mechanical Engineering,2.91,"['painting', 'music']",Canada,id_226,Nova Scotia,Freshman
Lisa Jones MD,18,Female,Earth Science,3.35,"['philately', 'playing musical instruments']",Canada,id_227,British Columbia,Senior
Melanie Gallagher,23,Female,Sociology,2.27,"['windsurfing', 'numismatics']",USA,id_228,Idaho,Junior
Jason Carter,20,Male,Electrical Engineering,3.29,"['rock climbing', 'tarot reading']",Canada,id_229,Quebec,Senior
Isabel Parsons,20,Female,History,3.7800000000000002,"['bird training', 'jewelry making']",Canada,id_230,Ontario,Junior
Daniel Escobar,18,Male,English Literature,3.34,"['parkour', 'magic']",USA,id_231,Illinois,Sophomore
Robert Moore,23,Male,Ecology,3.49,"['reading', 'animation']",Canada,id_232,Ontario,Senior
Jennifer Perez,21,Female,Fashion Design,2.43,"['numismatics', 'meditation']",Canada,id_233,Manitoba,Sophomore
Susan Scott,18,Female,Graphic Communication,2.32,"['programming', 'tarot reading']",Canada,id_234,Ontario,Senior
Susan Larsen,23,Female,Health Science,2.21,"['tai chi', 'table tennis']",USA,id_235,New Mexico,Freshman
Lisa Phillips,19,Female,Archaeology,2.73,"['birdwatching', 'skiing']",USA,id_236,Indiana,Junior
Troy Anderson,22,Male,Ecology,2.49,"['candle making', 'sailing']",Canada,id_237,Ontario,Senior
Kenneth Perry,18,Male,Criminology,2.7800000000000002,"['magic', 'stargazing']",Canada,id_238,Alberta,Sophomore
Kelly Cole,18,Female,Hospitality Management,3.59,"['skateboarding', 'foraging']",USA,id_239,New York,Junior
Michael Robinson,22,Male,Archaeology,3.7,"['bouldering', 'pottery']",USA,id_240,New York,Junior
Jordan Simpson,19,Male,Dentistry,3.08,"['model building', 'board games']",Canada,id_241,Ontario,Freshman
Michael Jimenez,20,Male,Art History,2.85,"['stargazing', 'snowboarding']",USA,id_242,Indiana,Junior
Adam Flores,21,Male,Chemical Engineering,3.06,"['philately', 'baking']",USA,id_243,South Carolina,Senior
Angela Conner,19,Female,Dance,3.3,"['snorkeling', 'animation']",USA,id_244,Arizona,Sophomore
Michael Brown,19,Male,Classics,2.62,"['graphic design', 'podcasting']",USA,id_245,Washington,Freshman
Cindy Gilmore,18,Female,Interior Design,2.9,"['digital art', 'glassblowing']",USA,id_246,Alabama,Junior
Joseph Hanson,22,Male,Environmental Science,2.45,"['whittling', 'handball']",USA,id_247,California,Senior
Gary Lamb,19,Male,Information Systems,2.42,"['rock climbing', 'collecting (e.g., stamps, coins, comic books)']",USA,id_248,Florida,Freshman
Sarah Silva,21,Female,Forensic Science,2.76,"['cycling', 'DIY projects']",USA,id_249,New Jersey,Sophomore
